Source	Target	Type	Label	Wheigt
/BD_181	/R_11	UnDirected	ab-una-part	1
/BD_181	/R_11	UnDirected	in	1
/BD_182	/BD_183	UnDirected	a-meridie	1
/BD_182	/BD_457	UnDirected	a-circio	1
/BD_182	/BD_57	UnDirected	a-orient	1
/BD_182	/R_9	UnDirected	in	1
/BD_182	/R_9	UnDirected	a-occident	1
/BD_183	/BD_182	UnDirected	a-circio	1
/BD_183	/BD_184	UnDirected	a-meridie	1
/BD_183	/BD_61	UnDirected	a-orient	1
/BD_183	/R_9	UnDirected	a-occident	1
/BD_184	/BD_183	UnDirected	a-circio	1
/BD_184	/BD_185	UnDirected	a-meridie	1
/BD_184	/BD_61	UnDirected	a-orient	1
/BD_184	/R_9	UnDirected	a-occident	1
/BD_185	/BD_184	UnDirected	a-circio	1
/BD_185	/BD_186	UnDirected	a-meridie	1
/BD_185	/BD_62	UnDirected	a-orient	1
/BD_185	/R_9	UnDirected	a-occident	1
/BD_186	/BD_185	UnDirected	a-circio	1
/BD_186	/BD_187	UnDirected	a-meridie	1
/BD_186	/BD_62	UnDirected	a-orient	1
/BD_186	/R_9	UnDirected	a-occident	1
/BD_187	/BD_186	UnDirected	a-circio	1
/BD_187	/BD_188	UnDirected	a-meridie	1
/BD_187	/BD_63	UnDirected	a-orient	1
/BD_187	/BD_65	UnDirected	a-orient	1
/BD_187	/R_9	UnDirected	a-occident	1
/BD_188	/BD_187	UnDirected	a-circio	1
/BD_188	/BD_65	UnDirected	a-orient	1
/BD_188	/BD_70	UnDirected	a-meridie	1
/BD_188	/BD_71	UnDirected	in	1
/BD_188	/BND_858	UnDirected	a-meridie	1
/BD_188	/R_9	UnDirected	a-occident	1
/BD_189	/BD_188	UnDirected	prope	1
/BD_189	/BD_70	UnDirected	a-meridie	1
/BD_189	/BD_71	UnDirected	a-meridie	1
/BD_189	/BD_74	UnDirected	a-meridie	1
/BD_189	/BND_858	UnDirected	a-circio	1
/BD_189	/BND_860	UnDirected	a-occident	1
/BD_189	/L_212	UnDirected	prope	1
/BD_189	/RN_00137	UnDirected	a-circio	1
/BD_19	/BD_18	UnDirected	a-occident	1
/BD_19	/BD_20	UnDirected	a-orient	1
/BD_19	/E_131	UnDirected	a-meridie	1
/BD_19	/R_55	UnDirected	a-circio	1
/BD_190	/BD_191	UnDirected	a-occident	1
/BD_190	/BD_194	UnDirected	a-occident	1
/BD_190	/BD_195	UnDirected	a-meridie	1
/BD_190	/BND_859	UnDirected	a-orient	1
/BD_190	/R_8	UnDirected	in	1
/BD_190	/R_8	UnDirected	a-circio	1
/BD_191	/BD_190	UnDirected	a-orient	1
/BD_191	/BD_192	UnDirected	a-occident	1
/BD_191	/BD_194	UnDirected	a-meridie	1
/BD_191	/R_97	UnDirected	a-circio	1
/BD_192	/BD_102	UnDirected	a-occident	1
/BD_192	/BD_191	UnDirected	a-orient	1
/BD_192	/BD_193	UnDirected	a-occident	1
/BD_192	/BD_194	UnDirected	a-meridie	1
/BD_192	/R_97	UnDirected	a-circio	1
/BD_193	/BD_102	UnDirected	a-circio	1
/BD_193	/BD_192	UnDirected	a-orient	1
/BD_193	/BD_194	UnDirected	a-meridie	1
/BD_193	/R_8	UnDirected	in	1
/BD_194	/BD_190	UnDirected	a-orient	1
/BD_194	/BD_191	UnDirected	a-circio	1
/BD_194	/BD_192	UnDirected	a-circio	1
/BD_194	/BD_193	UnDirected	a-circio	1
/BD_194	/BD_195	UnDirected	a-meridie	1
/BD_194	/R_8	UnDirected	a-occident	1
/BD_195	/BD_190	UnDirected	a-circio	1
/BD_195	/BD_194	UnDirected	a-circio	1
/BD_195	/BD_196	UnDirected	a-meridie	1
/BD_195	/BND_859	UnDirected	a-orient	1
/BD_195	/R_8	UnDirected	a-occident	1
