idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BD_1144;417;1;1363;NULL;S
BD_1145;142;1;1370;NULL;S
BD_1146;429;1;1364;NULL;S
BD_1147;426;1;1363;NULL;S
BD_1148;426;1;1363;NULL;S
BD_1149;406;1;1363;NULL;S
BD_1150;513;1;1365;NULL;S
BD_1151;476;1;1365;NULL;S
BD_1152;480;1;1364;NULL;S
BD_1152;584;1;1364;NULL;S
BD_1152;585;1;1364;NULL;S
BD_1153;441;1;1365;NULL;S
BD_1154;416;1;1365;NULL;S
BD_1155;453;1;1365;NULL;S
BD_1156;549;1;1368;NULL;S
BD_1157;566;1;1368;NULL;S
BD_1158;536;1;1372;NULL;S
BD_1159;562;1;1366;NULL;S
BD_1160;406;1;1363;NULL;S
BD_1161;428;1;1364;NULL;S
BD_1162;531;1;1392;NULL;S
BD_1162;504;1;1392;NULL;S
BD_1163;486;1;1389;NULL;S
BD_1164;565;1;1365;NULL;S
BD_1165;543;1;1365;NULL;S
BD_1166;470;1;1363;NULL;S
BD_1167;5;1;1364;NULL;S
BD_1167;4;1;1364;NULL;S
BD_1168;445;1;1364;NULL;S
BD_1169;471;1;1365;NULL;S
BD_1170;494;1;1364;NULL;S
BD_1171;418;1;1364;NULL;S
BD_1172;528;1;1365;NULL;S
BD_1173;493;1;1367;NULL;S
BD_1174;502;1;1374;NULL;S
BD_1175;146;1;1363;NULL;S
BD_1176;415;1;1370;NULL;S
BD_1177;415;1;1370;NULL;S
BD_1178;535;1;1369;NULL;S
BD_1179;437;1;1365;NULL;S
BD_1180;465;1;1370;NULL;S
BD_1181;552;1;1370;NULL;S
BD_1182;23;1;1366;NULL;S
BD_1183;557;1;1371;NULL;S
BD_1184;469;1;1364;NULL;S
BD_1185;521;1;1363;NULL;S
BD_1186;511;1;1365;NULL;S
BD_1187;567;1;1377;NULL;S
BD_1188;501;1;1368;NULL;S
BD_1189;491;1;1370;NULL;S
BD_1190;534;1;1363;NULL;S
BD_1191;551;1;1365;NULL;S
BD_1192;544;1;1364;NULL;S
BD_1193;517;1;1366;NULL;S
BD_1194;457;1;1366;NULL;S
BND_1401;1396;1;1354;1392;PS
BND_1402;1112;1;1354;1392;PS
BND_1403;1466;1;1354;1392;PS
BND_1404;1455;1;1354;1392;PS
BND_1405;1119;1;1354;1392;PS
BND_1406;447;1;1354;1392;PS
BND_1407;1439;1;1354;1392;PS
BND_1408;1453;1;1354;1392;PS
BND_1409;1121;1;1354;1392;PS
BND_1410;250;1;1354;1392;PS
BND_1411;1125;1;1354;1392;PS
BND_1412;1395;1;1354;1392;PS
BND_1413;423;1;1354;1392;PS
BND_1414;1436;1;1354;1392;PS
BND_1415;220;1;1354;1392;PS
BND_1416;1485;1;1354;1392;PS
BND_1417;542;1;1354;1392;PS
BND_1418;1472;1;1354;1392;PS
BND_1419;220;1;1354;1392;PS
BND_1420;334;1;1354;1392;PS
BND_1421;537;1;1354;1392;PS
BND_1422;1394;1;1354;1392;PS
BND_1423;1417;1;1354;1392;PS
BND_1424;1433;1;1354;1392;PS
BND_1425;545;1;1354;1392;PS
BND_1426;1486;1;1354;1392;PS
BND_1429;1390;1;1354;1392;PS
BND_1430;1481;1;1354;1392;PS
BND_1431;1412;1;1354;1392;PS
BND_1432;1447;1;1354;1392;PS
BND_1433;1139;1;1354;1392;PS
BND_1434;1473;1;1354;1392;PS
BND_1435;292;1;1354;1392;PS
BND_1436;281;1;1354;1392;PS
BND_1437;1160;1;1354;1392;PS
BND_1438;1450;1;1354;1392;PS
BND_1439;1424;1;1354;1392;PS
BND_1440;1414;1;1354;1392;PS
BND_1441;443;1;1354;1392;PS
BND_1442;1415;1;1354;1392;PS
BND_1443;334;1;1354;1392;PS
BND_1444;1419;1;1354;1392;PS
BND_1445;1428;1;1354;1392;PS
BND_1446;794;1;1354;1392;PS
BND_1447;794;1;1354;1392;PS
BND_1448;545;1;1354;1392;PS
BND_1449;472;1;1354;1392;PS
BND_1450;1462;1;1354;1392;PS
BND_1451;1145;1;1354;1392;PS
BND_1453;1147;1;1354;1392;PS
BND_1454;1148;1;1354;1392;PS
BND_1455;1480;1;1354;1392;PS
BND_1456;1152;1;1354;1392;PS
BND_1457;1276;1;1354;1392;PS
BND_1458;794;1;1354;1392;PS
BND_1459;575;1;1354;1392;PS
BND_1460;1162;1;1354;1392;PS
BND_1461;1440;1;1354;1392;PS
BND_1462;527;1;1354;1392;PS
BND_1463;1166;1;1354;1392;PS
BND_1464;341;1;1354;1392;PS
BND_1465;492;1;1354;1392;PS
BND_1466;1254;1;1354;1392;PS
BND_1467;1421;1;1354;1392;PS
BND_1468;1429;1;1354;1392;PS
BND_1469;1416;1;1354;1392;PS
BND_1470;1258;1;1354;1392;PS
BND_1471;1401;1;1354;1392;PS
BND_1472;1445;1;1354;1392;PS
BND_1472;1443;1;1354;1392;PS
BND_1473;516;1;1354;1392;PS
BND_1474;488;1;1354;1392;PS
BND_1475;1471;1;1354;1392;PS
BND_1476;1406;1;1354;1392;PS
BND_1477;1169;1;1354;1392;PS
BND_1478;564;1;1354;1392;PS
BND_1479;516;1;1354;1392;PS
BND_1480;1459;1;1354;1392;PS
BND_1481;570;1;1354;1392;PS
BND_1482;1174;1;1354;1392;PS
BND_1483;1402;1;1354;1392;PS
BND_1484;1175;1;1354;1392;PS
