Source;Target;Type;Label;typeLien;Wheigt
786;239;;filius;LienFamille;1
788;927;;consanguineus;LienFamille;1
791;730;;frater;LienFamille;1
792;116;;mater;LienFamille;1
797;739;;familiaris;LienProfessionel;1
803;1072;;magistri aule;LienProfessionel;1
813;241;;uxor;LienFamille;1
814;838;;relicta;LienFamille;1
815;699;;relicta;LienFamille;1
816;839;;relicta;LienFamille;1
817;125;;filia;LienFamille;1
820;1045;;mater;LienFamille;1
821;1005;;filia;LienFamille;1
821;88;;uxor;LienFamille;1
821;88;;uxor;LienFamille;1
821;1005;;heres;LienFamille;1
823;790;;uxor;LienFamille;1
826;975;;filia;LienFamille;1
826;955;;uxor;LienFamille;1
830;843;;frater;LienFamille;1
836;1080;;cursor;LienProfessionel;1
851;702;;heres;LienFamille;1
859;910;;nepos;LienFamille;1
861;2843;;serviens armorum;LienProfessionel;1
868;738;;familiaris;LienProfessionel;1
872;732;;uxor;LienFamille;1
878;1080;;scriptor;LienProfessionel;1
879;1072;;scutifer;LienProfessionel;1
879;1072;;familiaris;LienFamille;1
879;1072;;scutifer;LienProfessionel;1
880;52;;filius;LienFamille;1
881;1043;;conjuges;LienFamille;1
883;908;;heres;LienFamille;1
883;908;;filia;LienFamille;1
884;953;;nepos;LienFamille;1
886;739;;frater;LienFamille;1
889;895;;conjuges;LienFamille;1
890;1080;;serviens armorum;LienProfessionel;1
890;1072;;familiaris;LienProfessionel;1
892;970;;filia;LienFamille;1
892;902;;relicta;LienFamille;1
895;848;;relicta;LienFamille;1
898;929;;uxor;LienFamille;1
898;725;;filia;LienFamille;1
899;856;;relicta;LienFamille;1
900;789;;uxor;LienFamille;1
900;1005;;relicta;LienFamille;1
901;154;;soror;LienFamille;1
901;304;;uxor;LienFamille;1
904;1080;;hostiarius;LienProfessionel;1
904;1080;;scutifer;LienProfessionel;1
904;1080;;serviens armorum;LienProfessionel;1
906;1051;;mater;LienFamille;1
910;1080;;scriptor et corrector litteram;LienProfessionel;1
912;191;;filius;LienFamille;1
914;1040;;frater;LienFamille;1
915;983;;nepos;LienFamille;1
921;113;;filius;LienFamille;1
924;920;;relicta;LienFamille;1
924;729;;filia;LienFamille;1
925;16;;pater;LienFamille;1
926;916;;heres;LienFamille;1
926;916;;filius;LienFamille;1
930;1080;;serviens armorum;LienProfessionel;1
931;335;;frater;LienFamille;1
932;91;;conjuges;LienFamille;1
935;1029;;filia;LienFamille;1
935;1029;;heres;LienFamille;1
940;685;;heres;LienFamille;1
940;685;;filia;LienFamille;1
943;766;;uxor;LienFamille;1
944;145;;uxor;LienFamille;1
944;1035;;conjuges;LienFamille;1
944;1035;;relicta;LienFamille;1
945;959;;heres;LienFamille;1
945;959;;filia;LienFamille;1
946;977;;heres;LienFamille;1
946;977;;filius;LienFamille;1
953;824;;scriptor;LienProfessionel;1
953;1080;;scriptor et regestrator supplicationum;LienProfessionel;1
956;143;;avunculi;LienFamille;1
958;1080;;scriptor;LienProfessionel;1
961;1056;;filius;LienFamille;1
961;1056;;heres;LienFamille;1
964;963;;filius;LienFamille;1
967;1058;;frater;LienFamille;1
967;1058;;avunculi;LienFamille;1
973;216;;porteri;LienProfessionel;1
975;826;;pater;LienFamille;1
979;1080;;magistrum hostiar;LienProfessionel;1
979;825;;frater;LienFamille;1
980;122;;pater;LienFamille;1
981;794;;soror;LienFamille;1
981;1003;;conjuges;LienFamille;1
983;113;;socius caparum;LienProfessionel;1
989;807;;uxor;LienFamille;1
989;862;;filia;LienFamille;1
989;993;;relicta;LienFamille;1
990;796;;relicta;LienFamille;1
990;1008;;filia;LienFamille;1
990;746;;uxor;LienFamille;1
991;348;;uxor;LienFamille;1
992;999;;frater;LienFamille;1
992;1027;;heres;LienFamille;1
992;1027;;filius;LienFamille;1
994;857;;frater;LienFamille;1
